DrugBank ID,Smiles,Name,Predicted negative probability,Predicted positive probability,Predicted classification
DB09488,OC(=O)\C=C\c1nc(ccc1)/C(=C/CN1CCCC1)/c1ccc(cc1)C,Acrivastine,5.82E-01,4.18E-01,0
DB09414,[K+].[K+].P(O)(=O)([O-])[O-],Dipotassium phosphate,1.00E+00,3.38E-09,0
DB09413,[K+].P(O)(O)(=O)[O-],Monopotassium phosphate,1.00E+00,1.38E-05,0
DB09351,O(C[C@@H](O)CNC(C)C)c1ccc(cc1)CCOCC1CC1,Levobetaxolol,6.78E-02,9.32E-01,1
DB09350,O1c2cc(CCC)c(cc2OC1)COCCOCCOCCCC,Piperonyl butoxide,1.89E-02,9.81E-01,1
DB09348,O1CCC1=O,beta-Propiolactone,9.99E-01,1.42E-03,0
DB09347,Ic1c(C(O)=O)c(I)cc(I)c1NC(=O)C,Acetrizoic acid,9.99E-01,1.27E-03,0
DB09346,Ic1c(C(O)=O)c(I)c(NC(=O)C)c(I)c1N(C(=O)C)C,Metrizoic acid,9.98E-01,1.73E-03,0
DB09345,O1CCN(CC1)CCCOc1ccc(OCCCC)cc1,Pramocaine,1.02E-02,9.90E-01,1
DB09343,ClC=1C(=O)NC(=O)NC=1CN1CCCC1=N,Tipiracil,9.88E-01,1.22E-02,0
DB09342,O(CCC)c1cc(N)ccc1C(OCCN(CC)CC)=O,Propoxycaine,7.11E-01,2.89E-01,0
DB09341,O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)C1O,Glucose,1.00E+00,4.21E-04,0
DB09340,Ic1c(CC(CC)C(O)=O)c(I)cc(I)c1NC(=O)CCC,Tyropanoic acid,9.57E-01,4.31E-02,0
DB09338,[Hg](O)CC(OC)CNC(=O)c1ccccc1OCC(O)=O,Mersalyl,9.93E-01,6.69E-03,0
DB09333,Ic1c(CCC(O)=O)c(I)cc(I)c1\N=C\N(C)C,Ipodate,9.42E-01,5.78E-02,0
DB09332,P(Oc1c2c(cccc2)c(OP(=O)([O-])[O-])cc1C)(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],Kappadione,9.97E-01,2.64E-03,0
DB09330,O(C)c1cc(N(CCN(C)C)C)c(NC(=O)C=C)cc1Nc1nc(ccn1)-c1c2c(n(c1)C)cccc2,Osimertinib,1.29E-01,8.71E-01,1
DB09327,FC1=CN(C2OCCC2)C(=O)NC1=O.O=C1NC(=O)NC=C1,Tegafur-uracil,9.06E-01,9.42E-02,0
DB09326,N,Ammonia N-13,9.79E-01,2.14E-02,0
DB09325,[Na+].[F-],Sodium fluoride,1.00E+00,2.38E-06,0
DB09324,S1(=O)(=O)[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)C2,Sulbactam,1.00E+00,2.61E-05,0
DB09323,S1[C@H]2N([C@@H](C(=O)[O-])C1(C)C)C(=O)[C@H]2NC(=O)Cc1ccccc1.S1[C@H]2N([C@@H](C(=O)[O-])C1(C)C)C(=O)[C@H]2NC(=O)Cc1ccccc1.[NH2+](Cc1ccccc1)CC[NH2+]Cc1ccccc1,Benzathine benzylpenicillin,5.65E-13,1.00E+00,1
DB09322,[Zn+2].S(=O)(=O)([O-])[O-],Zinc sulfate,1.00E+00,2.89E-09,0
DB09320,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)Cc1ccccc1.O(C(=O)c1ccc(N)cc1)CCN(CC)CC,Procaine benzylpenicillin,1.33E-01,8.67E-01,1
DB09316,[Tl+].[Cl-],Thallous Chloride,1.00E+00,1.60E-04,0
DB09314,[Tc-3]([OH2+])([OH2+])([OH2+])[O-].[Na+],Technetium Tc-99m sodium pertechnetate,1.00E+00,1.24E-06,0
DB09313,Ic1c(C(=O)NCC(=O)Nc2c(I)c(C(=O)NCCO)c(I)c(C(O)=O)c2I)c(I)c(N(C(=O)C)C)c(I)c1C(=O)NC,Ioxaglic acid,9.77E-01,2.30E-02,0
DB09304,N1(CC2=C(CC1)c1c(Cc3c2cccc3)cccc1)C,Setiptiline,1.37E-01,8.63E-01,1
DB09300,[Br-].O1[C@H]2[C@H]3[N+]([C@@H]([C@@H]12)CC(OC(=O)[C@H](CO)c1ccccc1)C3)(CCCC)C,Scopolamine butylbromide,9.49E-01,5.06E-02,0
DB09299,P(Oc1ccccc1)(=O)(N[C@H](C(OC(C)C)=O)C)CO[C@@H](Cn1c2ncnc(N)c2nc1)C,Tenofovir alafenamide,7.09E-01,2.91E-01,0
DB09297,S(=O)(=O)(NC(=O)[C@]12NC(=O)[C@H]3N(C[C@H](Oc4nc5c(c6c4cccc6)cccc5)C3)C(=O)[C@@H](NC(=O)c3ncc(nc3)C)CCCCC\C=C/[C@H]1C2)C1CC1,Paritaprevir,8.34E-01,1.66E-01,0
DB09296,O(C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)Nc1ccc(cc1)[C@H]1N([C@@H](CC1)c1ccc(NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(OC)=O)C(C)C)cc1)c1ccc(cc1)C(C)(C)C)C,Ombitasvir,1.60E-01,8.40E-01,1
DB09295,FC(F)(F)c1cc(Nc2ncccc2C(OC2OC(=O)c3c2cccc3)=O)ccc1,Talniflumate,5.60E-01,4.40E-01,0
DB09294,[Na+].OC(C(=O)[O-])C,Sodium lactate,1.00E+00,2.36E-06,0
DB09293,I[Na],Sodium Iodide I-131,1.00E+00,8.42E-05,0
DB09292,O(CC)C(=O)[C@@H](C[C@H](NC(=O)CCC(O)=O)Cc1ccc(cc1)-c1ccccc1)C,Sacubitril,7.90E-01,2.10E-01,0
DB09291,FC(F)(F)c1cc(cc(c1)[C@H](OC[C@@]1(NC[C@]2(NC(=O)CC2)CC1)c1ccccc1)C)C(F)(F)F,Rolapitant,4.55E-02,9.55E-01,1
DB09290,O=C([C@@H]1CCc2[nH]cnc2C1)c1c2c(n(c1)C)cccc2,Ramosetron,7.99E-01,2.01E-01,0
DB09289,Clc1cc2S(=O)(=O)N(c3c(cccc3)C(NCCCCCCC(O)=O)c2cc1)C,Tianeptine,3.91E-01,6.09E-01,1
DB09288,O(C(=O)CN(CC)CC)c1ccc(NC(=O)C)cc1,Propacetamol,9.41E-01,5.92E-02,0
DB09286,Fc1ccc(cc1)C(=O)CCCN1CCC(N2CCCCC2)(CC1)C(=O)N,Pipamperone,5.06E-01,4.94E-01,0
DB09285,FC(F)(F)c1cc(Nc2ncccc2C(OCCN2CCOCC2)=O)ccc1,Morniflumate,1.40E-01,8.60E-01,1
DB09284,O1N=C(N(CCN(CC)CC)C1=N)c1ccccc1,Imolamine,6.32E-01,3.68E-01,0
DB09283,n12ncnc1N=C(C=C2N(CC)CC)C,Trapidil,8.89E-01,1.11E-01,0
DB09282,o1n[n+](N2CCOCC2)cc1[N-]C(OCC)=O,Molsidomine,9.97E-01,3.27E-03,0
DB09281,[Si](O[Si](=O)[O-])(O[Si](=O)[O-])([O-])[O-].[Mg+2].[Mg+2],Magnesium Trisilicate,1.00E+00,3.96E-09,0
DB09279,S=C(N(C)C)CC=1C(=O)N(Cc2ccc(cc2)-c2ccccc2-c2[nH]nnn2)C(=NC=1C)CCCC,Fimasartan,1.94E-01,8.06E-01,1
DB09277,[Cl-].OCC[N+](C)(C)C,Choline C 11,1.00E+00,2.75E-08,0
DB09276,[Au]SC(CC(O)=O)C(=O)[O-].[Na+],Sodium aurothiomalate,1.00E+00,3.53E-06,0
DB09274,O1[C@H]2O[C@H](OC(=O)CCC(O)=O)[C@@H]([C@H]3[C@@]24OOC1(CC[C@H]4[C@@H](CC3)C)C)C,Artesunate,9.92E-01,7.96E-03,0
DB09273,O1CCOC1Cn1c2c(nc1)N(C)C(=O)N(C)C2=O,Doxofylline,9.91E-01,9.34E-03,0
DB09272,O(C)c1ccc(cc1C(O)=O)CN([C@@H](C)c1[nH]cc(n1)-c1ccccc1)C(=O)[C@@H](N)Cc1c(cc(cc1C)C(=O)N)C,Eluxadoline,6.25E-01,3.75E-01,0
DB09269,OC(=O)Cc1ccccc1,Phenylacetic acid,1.00E+00,1.71E-04,0
DB09268,S(Oc1ccc(cc1)C(c1ccc(OS(=O)(=O)[O-])cc1)c1ncccc1)(=O)(=O)[O-].[Na+].[Na+],Sodium picosulfate,9.88E-01,1.16E-02,0
DB09267,[Sr+2].[Sr+2].s1c(C(=O)[O-])c(CC(=O)[O-])c(C#N)c1N(CC(=O)[O-])CC(=O)[O-],Strontium ranelate,1.00E+00,1.85E-07,0
DB09265,S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](N)Cc1nc[nH]c1)CCC(O)=O)[C@H](O)C)Cc1ccccc1)[C@H](O)C)CO)CC(O)=O)CC(C)C)CO)CCCCN)CCC(=O)N)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H]([C@H](CC)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N)CO)C)CO)CO)C)C,Lixisenatide,0.00E+00,1.00E+00,1
DB09262,O=C(N)C(CCn1ccnc1C)(c1ccccc1)c1ccccc1,Imidafenacin,7.50E-01,2.50E-01,0
DB09257,ClC1=CNC(=O)C=C1O,Gimeracil,9.93E-01,7.11E-03,0
DB09256,FC1=CN(C2OCCC2)C(=O)NC1=O,Tegafur,9.91E-01,8.70E-03,0
DB09245,O1C(CN(c2cc(ccc2)C)C1=O)CO,Toloxatone,9.93E-01,6.81E-03,0
DB09244,n12c3C(NCC1)CCCc3c1cc(ccc12)C,Pirlindole,4.05E-01,5.95E-01,1
DB09243,O=C(N)c1nnc(NN)cc1,Hydracarbazine,9.98E-01,2.08E-03,0
DB09242,Clc1nc(nc(OC)c1NC=1NCCN=1)C,Moxonidine,8.09E-01,1.91E-01,0
DB09237,Clc1ccccc1[C@@H]1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)COCCN,Levamlodipine,9.12E-01,8.81E-02,0
DB09236,O(C(=O)C=1C(C(C(OCC)=O)=C(NC=1C)C)c1ccccc1\C=C\C(OC(C)(C)C)=O)CC,Lacidipine,7.57E-01,2.43E-01,0
DB09235,P1(OCC(CO1)(C)C)(=O)C=1C(C(C(OCCN(Cc2ccccc2)c2ccccc2)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1,Efonidipine,2.21E-01,7.79E-01,1
DB09232,O(C(=O)C=1C(C(C(OC\C=C\c2ccccc2)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)CCOC,Cilnidipine,5.29E-01,4.71E-01,0
DB09231,O(C(=O)C=1[C@@H](C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)[C@@H]1CCCN(C1)Cc1ccccc1,Benidipine,4.30E-01,5.70E-01,1
DB09230,O(C(=O)C=1C(C(C(OC(C)C)=O)=C(NC=1N)C)c1cc([N+](=O)[O-])ccc1)C1CN(C1)C(c1ccccc1)c1ccccc1,Azelnidipine,6.08E-01,3.92E-01,0
DB09229,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1ccccc1[N+](=O)[O-])CC(=O)C,Aranidipine,9.62E-01,3.83E-02,0
DB09227,O(C(=O)C=1[C@H](C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)[C@H]1CCN(C1)Cc1ccccc1,Barnidipine,4.53E-01,5.47E-01,1
DB09225,Clc1cc2c(Sc3c(C=C2OCCN(C)C)cccc3)cc1,Zotepine,6.54E-03,9.93E-01,1
DB09224,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)C,Melperone,7.14E-01,2.86E-01,0
DB09223,Fc1ccc(cc1)-c1cc(nc2c1CCCCCC2)N1CCN(CC1)CC,Blonanserin,5.92E-03,9.94E-01,1
DB09221,[Zn+2].O=C([N-][C@H](Cc1[nH]cnc1)C(=O)[O-])CCN,Polaprezinc,1.00E+00,1.65E-04,0
DB09220,O([N+](=O)[O-])CCNC(=O)c1cccnc1,Nicorandil,9.80E-01,2.03E-02,0
DB09219,O1c2c(NC(=O)C1(c1ccc(O)cc1)c1ccc(O)cc1)cccc2,Bisoxatin,8.96E-01,1.04E-01,0
DB09218,Clc1cccc(Nc2ncccc2C(O)=O)c1C,Clonixin,9.65E-01,3.46E-02,0
DB09216,Clc1cccc(Nc2ccccc2C(O)=O)c1C,Tolfenamic Acid,9.55E-01,4.55E-02,0
DB09215,S1(=O)(=O)N(C2=C(OC(=O)N(C2=O)c2ncccc2)c2c1cccc2)C,Droxicam,9.86E-01,1.39E-02,0
DB09214,OC(=O)[C@@H](C)c1cc(ccc1)C(=O)c1ccccc1,Dexketoprofen,9.98E-01,2.01E-03,0
DB09213,OC(=O)[C@@H](C)c1ccc(cc1)CC(C)C,Dexibuprofen,9.88E-01,1.16E-02,0
DB09212,O=C1CCCC1Cc1ccc(cc1)C(C(O)=O)C,Loxoprofen,9.83E-01,1.67E-02,0
DB09211,O=C1C[C@@H](O)[C@H](\C=C\[C@@H](O)C[C@H](CCCC)C)[C@H]1CCCC\C=C\C(O)=O,Limaprost,7.66E-01,2.34E-01,0
DB09210,O=C1N(CCC1)CC(O)=N,Piracetam,9.99E-01,7.31E-04,0
DB09209,O1CCN(CC1)CCOc1c2O[C@@H]3[C@]45[C@H]([C@H](N(CC4)C)Cc(c25)cc1)C=C[C@@H]3O,Pholcodine,3.49E-01,6.51E-01,1
DB09205,O(C(=O)C)c1cc(C(C)C)c(OCCN(C)C)cc1C,Moxisylyte,7.41E-01,2.59E-01,0
DB09204,s1c(ccc1C(=O)N)-c1nc(sc1)SCC(O)CNC(C)(C)C,Arotinolol,7.93E-01,2.07E-01,0
DB09198,S1C(Cc2ccc(OCCN(C)c3ncnc(Oc4ccc(OC)cc4)c3)cc2)C(=O)NC1=O,Lobeglitazone,2.34E-01,7.66E-01,1
DB09197,Clc1cc(N2CCN(CC2)CCc2n[nH]c(c2)C)ccc1,Mepiprazole,4.75E-02,9.53E-01,1
DB09195,FC(F)(F)c1cc(N2CCN(CC2)CCc2n3C[C@H]4[C@H](CCC4)c3nn2)ccc1,Lorpiprazole,1.06E-02,9.89E-01,1
DB09194,Clc1cc(N2CCN(CC2)CCCN2N=C(N(CC)C2=O)CC)ccc1,Etoperidone,1.23E-02,9.88E-01,1
DB09185,O1CCNCC1COc1ccccc1OCC,Viloxazine,4.32E-01,5.68E-01,1
DB09183,S(=O)(=O)(Nc1cc2c(cc(cc2)-c2cc(N3C=CC(=O)NC3=O)cc(C(C)(C)C)c2OC)cc1)C,Dasabuvir,4.48E-01,5.52E-01,1
DB09167,S1Cc2c(cccc2)\C(\c2c1cccc2)=C\CCN(C)C,Dosulepin,7.90E-02,9.21E-01,1
DB09166,Clc1ccccc1C1=NCc2n(-c3sc(cc13)CC)c(nn2)C,Etizolam,7.33E-01,2.67E-01,0
DB09161,[TcH+6].O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C,Technetium Tc-99m sestamibi,6.29E-06,1.00E+00,1
DB09160,[Tc].P(CCOCC)(CCOCC)CCP(CCOCC)CCOCC,Technetium Tc-99m tetrofosmin,6.97E-03,9.93E-01,1
DB09159,[Na+].[Na+].[Na+].O.O.OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-],Trisodium citrate dihydrate,1.00E+00,1.41E-07,0
DB09158,S(=O)(=O)([O-])c1cc2c(c(O)c1\N=N\c1ccc(cc1C)-c1cc(C)c(\N=N\c3c(O)c4c(cc3S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc4N)cc1)c(N)cc(S(=O)(=O)[O-])c2.[Na+].[Na+].[Na+].[Na+],Trypan blue,1.68E-02,9.83E-01,1
DB09157,O=C=O,Carbon dioxide,9.99E-01,6.30E-04,0
DB09156,Ic1c(C(=O)N(CC(O)CO)C)c(I)c(N=C(O)COC)c(I)c1C(O)=NCC(O)CO,Iopromide,9.98E-01,2.09E-03,0
DB09154,[Na+].[Na+].[Na+].OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-],Sodium Citrate,1.00E+00,1.16E-08,0
DB09153,[Cl-].[Na+],Sodium Chloride,1.00E+00,4.59E-07,0
DB09151,s1c2cc(O)ccc2nc1-c1cc(F)c(NC)cc1,Flutemetamol (18F),7.54E-01,2.46E-01,0
DB09150,F[C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@@H]1O)CO,Fludeoxyglucose (18F),9.99E-01,8.59E-04,0
DB09149,FCCOCCOCCOc1ncc(cc1)\C=C\c1ccc(NC)cc1,Florbetapir (18F),1.14E-02,9.89E-01,1
DB09148,FCCOCCOCCOc1ccc(cc1)\C=C\c1ccc(NC)cc1,Florbetaben (18F),1.93E-02,9.81E-01,1
DB09147,[Fe+3].[Fe+3].[Fe+3].[Fe+3].P(OP(=O)([O-])[O-])(=O)([O-])[O-].P(OP(=O)([O-])[O-])(=O)([O-])[O-].P(OP(=O)([O-])[O-])(=O)([O-])[O-],Ferric pyrophosphate,1.00E+00,2.36E-08,0
DB09146,[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Na+].[Na+].O.O.O.O1[C@](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)(CO)[C@@H](O)[C@H](O)[C@H]1CO.[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-],Sucroferric Oxyhydroxide,5.74E-01,4.26E-01,0
DB09144,O1[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1N1C=CC(=O)NC1=O,Uridine triacetate,1.00E+00,3.41E-04,0
DB09143,P(O)(O)(O)=O.P(O)(O)(O)=O.FC(F)(F)Oc1ccc(cc1)-c1cccc(C(O)=Nc2ccc(nc2)N2C[C@H](O[C@H](C2)C)C)c1C,Sonidegib,6.57E-02,9.34E-01,1
DB09142,S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CC(O)=O)Cc1ccc(OS(O)(=O)=O)cc1)C(=O)NCC(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N)C,Sincalide,5.98E-03,9.94E-01,1
DB09138,[Tc].P(O)(O)(=O)CP(O)(O)=O,Technetium Tc-99m Medronate,1.00E+00,3.24E-04,0
DB09137,[Tc].Brc1c(C)c(NC(=O)CN(CC(O)=O)CC(O)=O)c(cc1C)C,Technetium Tc 99m Mebrofenin,9.91E-01,8.78E-03,0
DB09136,S(=O)(=O)([O-])c1ccc(S(=O)(=O)[O-])cc1C(c1ccc(N(CC)CC)cc1)=C1C=CC(=[N+](CC)CC)C=C1.[Na+],Isosulfan blue,9.46E-01,5.35E-02,0
DB09135,Ic1c(C(=O)NCC(O)CO)c(I)c(N(C(=O)C)CC(O)CO)c(I)c1C(=O)NCCO,Ioxilan,9.99E-01,1.43E-03,0
DB09134,Ic1c(C(=O)NCC(O)CO)c(I)c(N(C(=O)CO)CCO)c(I)c1C(=O)NCC(O)CO,Ioversol,9.98E-01,1.78E-03,0
DB09133,Ic1c(C(=O)NC)c(I)c(NC(=O)C)c(I)c1C(O)=O,Iothalamic acid,9.99E-01,1.49E-03,0
DB09132,[Gd+3].OC(=O)CN1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],Gadoteric acid,1.00E+00,2.84E-08,0
DB09131,[Cu](Cl)Cl,Cupric Chloride,1.00E+00,1.84E-11,0
DB09129,[Cr+3].[Cl-].[Cl-].[Cl-],Chromic chloride,1.00E+00,5.80E-11,0
DB09128,s1c2c(cc1)c(N1CCN(CC1)CCCCOc1cc3NC(=O)C=Cc3cc1)ccc2,Brexpiprazole,4.91E-02,9.51E-01,1
DB09127,P(O)(=O)([O-])[O-].[Na+].[Na+],Disodium phosphate,1.00E+00,1.38E-08,0
DB09125,[K+].[K+].[K+].OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-],Potassium Citrate,1.00E+00,1.08E-08,0
DB09124,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@@](C(=O)C)(C)[C@]4(CC3)C)C=C(C2=C1)C)C,Medrogestone,8.16E-01,1.84E-01,0
DB09123,O=C1CCC=2C(=C1)CC[C@H]1[C@@H]3CC[C@@](O)(CC#N)[C@]3(CCC1=2)C,Dienogest,7.13E-01,2.87E-01,0
DB09120,O(C)c1cc(ccc1O)CNC(=O)CCCC\C=C/C(C)C,Zucapsaicin,5.96E-01,4.04E-01,0
DB09119,O(C(=O)C)[C@H]1Cc2c(N(c3c1cccc3)C(=O)N)cccc2,Eslicarbazepine acetate,9.51E-01,4.89E-02,0
DB09118,O1c2cc(ccc2OC1)\C=C\C(O)C(C)(C)C,Stiripentol,9.39E-01,6.12E-02,0
DB09117,O1C(OC(OC1C)C)C,Paraldehyde,1.00E+00,2.51E-04,0
DB09116,[Ca+2].OC(CC(=O)[O-])(CC(O)=O)C(=O)[O-].N(C#N)C,Calcium carbimide,1.00E+00,1.80E-05,0
DB09115,Ic1cc(I)c2c(nccc2)c1O,Diiodohydroxyquinoline,9.81E-01,1.87E-02,0
DB09114,P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)(=O)[O-],Colfosceril palmitate,2.64E-01,7.36E-01,1
DB09112,[Na+].O=N[O-],Sodium Nitrite,1.00E+00,6.71E-06,0
DB09110,S(=O)(=O)([O-])CCS.[Na+],Mesna,1.00E+00,1.49E-07,0
DB09104,[Mg+2].[OH-].[OH-],Magnesium hydroxide,1.00E+00,9.60E-08,0
DB09102,Cl.Cl.O(C(O)=N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c1[nH]c(cn1)-c1ccc(cc1)-c1ccc(cc1)-c1[nH]c(nc1)[C@H]1N(CCC1)C(=O)[C@@H](N=C(OC)O)C(C)C)C,Daclatasvir,1.54E-01,8.46E-01,1
DB09101,Clc1cccc(Cc2cc3c(N(C=C(C(O)=O)C3=O)[C@@H](C(C)C)CO)cc2OC)c1F,Elvitegravir,8.16E-01,1.84E-01,0
DB09099,S1SCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(N)C)C1)CCCCN)CC(=O)N)Cc1ccccc1)Cc1ccccc1)Cc1c2c([nH]c1)cccc2)CCCCN)C(O)C)Cc1ccccc1)C(O)C)CO)C(O)=O,Somatostatin,9.41E-10,1.00E+00,1
DB09097,S(=O)(=O)(N[C@H]1C[C@H]2[C@H](N(C1)CCC)Cc1c(C2)c(O)ccc1)N(CC)CC,Quinagolide,1.56E-01,8.44E-01,1
DB09096,O(OC(=O)c1ccccc1)C(=O)c1ccccc1,Benzoyl peroxide,9.99E-01,8.69E-04,0
DB09095,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@H](C(=O)CO)[C@]3(C[C@@H]1O)C)C[C@H](F)C1=CC(=O)C=C[C@@]12C,Difluocortolone,9.76E-01,2.45E-02,0
DB09094,O1CC2C(C(c3c(cc4OCOc4c3)C2O)c2cc(OC)c(OC)c(OC)c2)C1=O.O1CC2C(C(c3c(cc4OCOc4c3)C2O)c2cc(OC)c(OC)c(OC)c2)C1=O.O1c2c(OC1)cc1c(c2)C(C(C(O)=O)C(CO)C1O)c1cc(OC)c(OC)c(OC)c1.O1c2c(OC1)cc1c(c2)C(C(C(O)=O)C(CO)C1O)c1cc(OC)c(OC)c(OC)c1,Podophyllin,0.00E+00,1.00E+00,1
DB09093,Clc1c2c(C(=O)C=3[C@H](C[C@@H]4[C@@](O)(C(=O)C(C(O)=N)=C(O)[C@H]4N(C)C)C=3O)[C@@]2(O)C)c(O)cc1,Chlortetracycline,9.90E-01,1.00E-02,0
DB09092,O=C1N(C)C(=O)N(c2ncn(c12)CC(O)CN(CCO)C)C,Xanthinol,9.91E-01,8.89E-03,0
DB09091,SCC(=O)[C@@]1(O)CC[C@H]2[C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C[C@]12C,Tixocortol,9.67E-01,3.30E-02,0
